Name_number;Name_submitted;Overall_score;Name_matched;Name_matched_rank;Name_score;Name_matched_author;Name_matched_url;Author_matched;Author_score;Family_matched;Family_score;Name_matched_accepted_family;Genus_matched;Genus_score;Specific_epithet_matched;Specific_epithet_score;Infraspecific_rank;Infraspecific_epithet_matched;Infraspecific_epithet_score;Infraspecific_rank_2;Infraspecific_epithet_2_matched;Infraspecific_epithet_2_score;Annotations;Unmatched_terms;Taxonomic_status;Accepted_name;Accepted_name_author;Accepted_name_rank;Accepted_name_url;Accepted_name_species;Accepted_name_family;Selected;Source;Warnings;Accepted_name_lsid
37;COPTIS CHINENSIS;1;Coptis chinensis;species;1;Franch.;"http://www.theplantlist.org/tpl1.1/record/kew-2736105;http://www.tropicos.org/Name/27101250";;;;;Ranunculaceae;Coptis;1;chinensis;1;;;;;;;;;Accepted;Coptis chinensis;Franch.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2736105;http://www.tropicos.org/Name/27101250";Coptis chinensis;Ranunculaceae;true;"tpl;tropicos"; ;
38;GARDENIA JASMINOIDES;1;Gardenia jasminoides;species;1;J.Ellis;http://www.theplantlist.org/tpl1.1/record/kew-88270;;;;;Rubiaceae;Gardenia;1;jasminoides;1;;;;;;;;;Accepted;Gardenia jasminoides;J.Ellis;species;http://www.theplantlist.org/tpl1.1/record/kew-88270;Gardenia jasminoides;Rubiaceae;true;tpl; ;
39;PHELLODENDRON CHINENSE;1;Phellodendron chinense;species;1;C.K.Schneid.;http://www.theplantlist.org/tpl1.1/record/kew-2541751;;;;;Rutaceae;Phellodendron;1;chinense;1;;;;;;;;;Accepted;Phellodendron chinense;C.K.Schneid.;species;http://www.theplantlist.org/tpl1.1/record/kew-2541751;Phellodendron chinense;Rutaceae;true;tpl; ;
40;ANGELICA GIGAS;1;Angelica gigas;species;1;Nakai;"http://www.theplantlist.org/tpl1.1/record/kew-2639084;http://www.tropicos.org/Name/1700302";;;;;Apiaceae;Angelica;1;gigas;1;;;;;;;;;Accepted;Angelica gigas;Nakai;species;"http://www.theplantlist.org/tpl1.1/record/kew-2639084;http://www.tropicos.org/Name/1700302";Angelica gigas;Apiaceae;true;"tpl;tropicos"; ;
41;GLYCYRRHIZA URALENSIS;1;Glycyrrhiza uralensis;species;1;Fisch. ex DC.;http://www.theplantlist.org/tpl1.1/record/tro-13019879;;;;;Fabaceae;Glycyrrhiza;1;uralensis;1;;;;;;;;;No opinion;;;;;;;true;tpl; ;
42;CARTHAMUS TINCTORIUS;1;Carthamus tinctorius;species;1;L.;"http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=BA689EF0-D761-487B-B72A-CDC475AB3858;http://www.tropicos.org/Name/2700365;http://plants.usda.gov/java/profile?symbol=CATI";;;;;Asteraceae;Carthamus;1;tinctorius;1;;;;;;;;;Accepted;Carthamus tinctorius;L.;species;"http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=BA689EF0-D761-487B-B72A-CDC475AB3858;http://www.tropicos.org/Name/2700365;http://plants.usda.gov/java/profile?symbol=CATI";Carthamus tinctorius;Asteraceae;true;"gcc;tropicos;usda"; ;urn:lsid:compositae.org:names:BA689EF0-D761-487B-B72A-CDC475AB3858
43;PRUNUS PERSICA;1;Prunus persica;species;1;(L.) Batsch;"http://www.theplantlist.org/tpl1.1/record/rjp-376;http://www.tropicos.org/Name/27801115;http://plants.usda.gov/java/profile?symbol=PRPE3";;;;;Rosaceae;Prunus;1;persica;1;;;;;;;;;Accepted;Prunus persica;(L.) Batsch;species;"http://www.theplantlist.org/tpl1.1/record/rjp-376;http://www.tropicos.org/Name/27801115;http://plants.usda.gov/java/profile?symbol=PRPE3";Prunus persica;Rosaceae;true;"tpl;tropicos;usda"; ;
44;ANGELICA KEISKEI;1;Angelica keiskei;species;1;(Miq.) Koidz.;http://www.theplantlist.org/tpl1.1/record/kew-2639124;;;;;Apiaceae;Angelica;1;keiskei;1;;;;;;;;;Accepted;Angelica keiskei;(Miq.) Koidz.;species;http://www.theplantlist.org/tpl1.1/record/kew-2639124;Angelica keiskei;Apiaceae;true;tpl; ;
45;CHRYSANTHEMUM ZAWADSKII;1;Chrysanthemum zawadskii;species;1;Herbich;"http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=3795FEDE-0963-4EA0-8A0B-E5EF1AC7B7B1;http://www.tropicos.org/Name/2702273";;;;;Asteraceae;Chrysanthemum;1;zawadskii;1;;;;;;;;;Accepted;Chrysanthemum zawadskii;Herbich;species;"http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=3795FEDE-0963-4EA0-8A0B-E5EF1AC7B7B1;http://www.tropicos.org/Name/2702273";Chrysanthemum zawadskii;Asteraceae;true;"gcc;tropicos"; ;urn:lsid:compositae.org:names:3795FEDE-0963-4EA0-8A0B-E5EF1AC7B7B1
46;STEM;0.5;Sium;genus;0.5;;"http://www.theplantlist.org/tpl1.1/search?q=Sium;http://plants.usda.gov/java/profile?symbol=SIUM";;;;;Apiaceae;Sium;0.5;;;;;;;;;;;Accepted;Sium;;genus;"http://www.theplantlist.org/tpl1.1/search?q=Sium;http://plants.usda.gov/java/profile?symbol=SIUM";;Apiaceae;true;"tpl;usda"; ;
