"Longitude";"Latitude"
140,34365;-34,15918
170,428;-45,816
173,2205556;-35,11094444
151,266667;-33,883333
173,4;-35,1
149,363;-25,3547
150,887266427;-33,686798653
145,35;-37,8167
173,7;-35,23333333
145,9152;-23,5634
151,42609709;-29,623412174
151,6666666667;-30,5166666667
151,1379;-25,1389
151,399428146;-29,302301272
151,0833333333;-25,25
147,443;-24,8659
145,3566;-22,3014
151,752294126;-32,752101229
144,0191;-19,915
172,9166667;-40,75
153;-26,0999
145,0355;-18,4817
151,816;-25,6814
147,494968543;-31,301579174
142,335062;-37,876362
147,707223688;-31,669173231
145,5755;-19,9628
150,021;-25,4125
153,396598788;-28,93079583
173,100801;-35,172065
172,9166667;-34,91666667
151,766504376;-32,729412604
153,387187855;-28,966024143
143,6667;-38,75
150,84893;-25,674064
140,67501;-34,24464
139,604722;-34,568611
147,846336771;-31,523455275
172,6833333;-42
172,737;-40,8569
140,74121;-34,09042
151,501100157;-30,119245047
174,064167;-39,295833
150,3;-34,05
144,656944;-37,901667
153,126057087;-26,6900697321
146,657;-42,815
150,7167;-33,6
146,6;-38,4667
146,199636908;-31,649056447
148,153168846;-31,856253551
153,429521227;-29,078978354
138,43924;-35,39847
152,880053262;-31,45749096
150,928802;-34,033315
150,9167;-31,0667
151,834070454;-32,823298182
145,975150763;-34,231638457
169,267;-45,95
147,1902;-24,8581
151,2667;-33,8
150,679401826;-34,7705816
150,932439815;-29,914157153
150,938808655;-33,582576999
151,621278697;-32,933974021
150,935738186;-33,687673043
171,283;-42,3333
147,944899;-42,933831
144,932171922;-35,880067589
143,6547;-37,8316
138,516667;-35,049722
140,59461;-34,30901
143,823;-37,5469
152,5207549552;-26,5308465031
172,698;-40,9505
148,5694;-37,2986
150,667827651;-33,615094502
144,706;-36,8861
146,1041;-36,4841
141,4894;-37,928
150,68;-34,02
147,003;-36,0105
151,392185781;-33,476911774
150,0736;-31,2778
143,8661;-36,6863
145,0333;-37,8667
151,067824047;-33,865089896
144,915;-36,4402
146,4691;-38,215
145,0861;-37,6811
144,933801521;-35,824558428
151,558741909;-32,96203394
144,4502;-37,3239
147,8452778;-35,4211111
145,7;-37,7167
141,25;-36,7666
150,754677907;-33,866209096
141,0308;-34,088
149,110656968;-33,230383669
151,717802526;-32,665084135
145,4519;-38,0369
145,1388;-37,7416
147,412967284;-35,155045469
141,2333;-37,0333
142,475;-38,3877
145,3475;-37,1925
145,3394;-36,4977
144,5311;-37,9233
174,131298;-39,039331
147,0061;-36,5596
171,436752;-42,458389
146,6333;-38,7113
143,7191;-37,9094
145,1336;-37,9941
