Longitude	Latitude	Species_TNRS	lon.test	lat.test
151,189589	-32,54236148	Abeliophyllum distichum	0,189589035	0,54236148
144,7338	-37,7111	Abeliophyllum distichum	0,7338	0,7111
145,6694727	-22,61039506	Abeliophyllum distichum	0,669472673	0,610395062
144,5669	-37,8183	Abeliophyllum distichum	0,5669	0,8183
151,6417	-30,4833	Abeliophyllum distichum	0,6417	0,4833
152,3564212	-29,6321614	Abeliophyllum distichum	0,356421166	0,632161401
145,2422	-36,4183	Abeliophyllum distichum	0,2422	0,4183
174,010216	-39,079318	Abeliophyllum distichum	0,010216	0,079318
145,1061	-37,6127	Abeliophyllum distichum	0,1061	0,6127
149,8533647	-36,63716765	Abeliophyllum distichum	0,853364741	0,637167653
150,922361	-33,678982	Abeliophyllum distichum	0,922361049	0,678981997
147,4914141	-30,84572578	Abeliophyllum distichum	0,491414108	0,845725783
139,3416	-35,42065	Abeliophyllum distichum	0,3416	0,42065
144,9688	-37,7241	Abeliophyllum distichum	0,9688	0,7241
151,0246242	-33,71082216	Abeliophyllum distichum	0,024624171	0,710822164
139,2546	-35,55677	Abeliophyllum distichum	0,2546	0,55677
145,366667	-41,05	Abeliophyllum distichum	0,366667	0,05
151,2982693	-32,91717993	Abeliophyllum distichum	0,298269307	0,917179927
146,2543	-37,9018	Abeliophyllum distichum	0,2543	0,9018
145,1166	-36,3994	Abeliophyllum distichum	0,1166	0,3994
145,2863	-38,0085	Abeliophyllum distichum	0,2863	0,0085
144,3002	-38,1477	Abeliophyllum distichum	0,3002	0,1477
147,85	-43,1	Abeliophyllum distichum	0,85	0,1
147,5418432	-30,84031816	Abeliophyllum distichum	0,541843207	0,840318159
138,83123	-35,40727	Abeliophyllum distichum	0,83123	0,40727
138,87201	-35,5456	Abeliophyllum distichum	0,87201	0,5456
151,472564	-33,18197534	Abeliophyllum distichum	0,472564046	0,181975339
146,8	-19,2667	Abeliophyllum distichum	0,8	0,2667
145,0927	-37,5905	Abeliophyllum distichum	0,0927	0,5905
