"Species_TNRS";"Species";"Longitude";"Latitude";"Country";"Locality";"Elevation";"Event_date";"Extracted_from";"Restriction"
"Abeliophyllum distichum";"Paspalum distichum";145,1283;-37,5311;"Australia";"T2536100"; ;"2012-12-14";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,12352732;-29,510191739;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,0852;-37,7477;"Australia";"E0307400"; ;"1987-12-10";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,859556457;-31,075664634;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,934033484;-30,947675918;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,927126285;-30,958202385;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,994460543;-29,485916799;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,863130977;-31,075839917;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,943097301;-30,951930196;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";146,8355;-36,08;"Australia";"F5557700"; ;"2004-12-20";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,102645368;-29,552763518;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,010313952;-29,774305081;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,933445924;-30,994813141;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,02288526;-30,945813877;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";143,3791;-35,1569;"Australia";"A1660900"; ;"1986-12-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,096706524;-29,614075977;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";143,7941;-37,5294;"Australia";"S1200400"; ;"1983-12-07";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,138172411;-29,543390224;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
